,panelist_id,home_state,home_state_county,city_name,postal_code,dfrw_cap_mean,gender,age,edu_level,ethnicity,is_hispanic,occupational_status,hh_income,hh_income_mid,hh_size
0,EMBUSA-1033561,KS,"('KS', 'Wyandotte')",Kansas City,66109,7791.049221463705,MALE,51.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
1,EMBUSA-1175033,NV,"('NV', 'Clark')",Las Vegas,89149,26299.639134900986,MALE,23.0,High School,White,Decline to answer,Full-time work,"$50,000 - $79,999 USD",65000,2
2,EMBUSA-1182541,IL,"('IL', 'Cook')",Bedford Park,,4242.612143885972,MALE,40.0,High School,Other race,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
3,EMBUSA-1222267,AZ,"('AZ', 'Pinal')",Marana,85658,26768.093003529415,FEMALE,38.0,High School,White,Decline to answer,Full-time work,"$0 - $14,999 USD",7500,5
4,EMBUSA-1277336,OH,"('OH', 'Cuyahoga')",Cleveland,44111,12373.044794483565,MALE,37.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,10+
5,EMBUSA-1319411,OH,"('OH', 'Summit')",East Canton,44730,68540.72094466403,FEMALE,36.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,4
6,EMBUSA-1417279,OH,"('OH', 'Hamilton')",Wilder,41071,9728.656134038196,MALE,30.0,University/College,Mixed racial background,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,2
7,EMBUSA-1446609,NC,"('NC', 'Guilford')",Vero Beach,32962,4628.3076,MALE,34.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
8,EMBUSA-1459356,AZ,"('AZ', 'Maricopa')",Glendale,85302,16122.555760330579,FEMALE,46.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
9,EMBUSA-1461520,OR,"('OR', 'Multnomah')",Portland,97236,5076.751040285716,FEMALE,50.0,High School,Mixed racial background,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
10,EMBUSA-1463888,MO,"('MO', 'St. Charles')",O\\\'Fallon,63366,86149.84185711914,MALE,48.0,High School,White,"No, not of Hispanic origin",Full-time work,"$150,000 - $199,999 USD",175000,4
11,EMBUSA-1468019,OH,"('OH', 'Medina')",Brunswick,44212,7413.232603022088,FEMALE,51.0,High School,Mixed racial background,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
12,EMBUSA-1469981,CA,"('CA', 'San Francisco')",San Francisco,94132,24882.379000000004,MALE,36.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$150,000 - $199,999 USD",175000,4
13,EMBUSA-1472964,KY,"('KY', 'Jefferson')",Austin,47102,20040.917877135882,MALE,23.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
14,EMBUSA-1473422,OH,"('OH', 'Lucas')",Martinsburg,16662,81605.98191045682,MALE,47.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
15,EMBUSA-1478823,MI,"('MI', 'Wayne')",Columbus,43228,25168.280999999995,FEMALE,55.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,2
16,EMBUSA-1482088,AR,"('AR', 'Washington')",,,8056.914473793289,FEMALE,27.0,High School,White,"No, not of Hispanic origin",Full-time work,"$0 - $14,999 USD",7500,3
17,EMBUSA-1493736,OH,"('OH', 'Cuyahoga')",Newburgh Heights,44105,17411.587999999996,FEMALE,26.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,2
18,EMBUSA-1502604,AZ,"('AZ', 'Maricopa')",Litchfield Park,85340,5627.984623922269,FEMALE,41.0,Postgraduate Education,Mixed racial background,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,1
19,EMBUSA-1503114,HI,"('HI', 'Honolulu')",Honolulu,96819,7132.789600000002,MALE,53.0,High School,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,4
20,EMBUSA-1515404,UT,"('UT', 'Utah')",Orem,84097,3445.9230000000002,MALE,35.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,5
21,EMBUSA-1516795,GA,"('GA', 'DeKalb')",Atlanta,30303,5631.900165615763,FEMALE,53.0,University/College,Decline to answer,Decline to answer,Full-time work,"$0 - $14,999 USD",7500,2
22,EMBUSA-1536863,MO,"('MO', 'Crawford')",Sullivan,63080,44423.71904661018,FEMALE,41.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
23,EMBUSA-1540424,TX,"('TX', 'Dallas')",Sachse,75048,24500.631672376116,FEMALE,28.0,Postgraduate Education,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,2
24,EMBUSA-1541366,PA,"('PA', 'Montgomery')",Philadelphia,19136,9805.073999999997,FEMALE,28.0,University/College,Other race,Decline to answer,Full-time work,"$100,000 - $149,999 USD",125000,5
25,EMBUSA-1541665,MI,"('MI', 'Macomb')",Warren,48092,20993.72036783286,FEMALE,35.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,2
26,EMBUSA-1547190,NE,"('NE', 'Lancaster')",Lincoln,68510,6693.808477877811,FEMALE,57.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
27,EMBUSA-1552716,NC,"('NC', 'Wayne')",Goldsboro,27534,26352.061999999998,FEMALE,50.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,5
28,EMBUSA-1552943,NE,"('NE', 'Sarpy')",Bellevue,68123,12847.14897299694,FEMALE,38.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,4
29,EMBUSA-1554010,OR,"('OR', 'Washington')",Beaverton,97007,26976.51866311746,MALE,52.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,3
30,EMBUSA-1554112,TN,"('TN', 'Sevier')",Sevierville,37876,23731.135000000006,MALE,33.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,8
31,EMBUSA-1557881,GA,"('GA', 'Lee')",Leesburg,31763,16043.182000000004,MALE,38.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
32,EMBUSA-1560125,TX,"('TX', 'Bell')",Killeen,76549,3301.5561975694445,MALE,40.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
33,EMBUSA-1560328,IA,"('IA', 'Clarke')",Osceola,50213,30605.929890061132,FEMALE,35.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
34,EMBUSA-1562085,WI,"('WI', 'Milwaukee')",Franklin,53132,6457.011112988423,MALE,39.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,2
35,EMBUSA-1565243,UT,"('UT', 'Utah')",Orem,84097,1576.2066999999997,FEMALE,30.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
36,EMBUSA-1565374,TX,"('TX', 'Gonzales')",Friendswood,77546,134074.65703203419,MALE,54.0,High School,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,2
37,EMBUSA-1566423,MS,"('MS', 'Hancock')",Bay Saint Louis,39520,20578.84923470243,FEMALE,32.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
38,EMBUSA-1566514,OK,"('OK', 'Cleveland')",Moore,73160,85172.18572355573,MALE,33.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,3
39,EMBUSA-1570516,TX,"('TX', 'Fort Bend')",Sugar Land,77498,21631.04694777397,MALE,34.0,Postgraduate Education,Decline to answer,Decline to answer,Full-time work,"$0 - $14,999 USD",7500,4
40,EMBUSA-1571697,UT,"('UT', 'Salt Lake')",Kearns,84118,10989.097848205129,FEMALE,43.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,3
41,EMBUSA-1573317,TX,"('TX', 'Travis')",Austin,78728,3988.0569634692556,FEMALE,21.0,High School,Native American or Alaskan native,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,2
42,EMBUSA-1574740,AZ,"('AZ', 'Maricopa')",Phoenix,85041,10275.27510789986,FEMALE,31.0,University/College,Other race,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
43,EMBUSA-1577593,WA,"('WA', 'Snohomish')",Everett,98208,3772.3145380078645,MALE,50.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
44,EMBUSA-1578697,CA,"('CA', 'San Diego')",Chula Vista,91911,13595.966774117958,MALE,39.0,University/College,White,"Yes, of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
45,EMBUSA-1589301,UT,"('UT', 'Utah')",Saratoga Springs,84045,553.2414705589226,MALE,37.0,High School,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,6
46,EMBUSA-1589320,AZ,"('AZ', 'Maricopa')",Glendale,85308,55912.23198846809,MALE,32.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$150,000 - $199,999 USD",175000,3
47,EMBUSA-1596269,TX,"('TX', 'Callahan')",Clyde,79510,21829.02428563596,MALE,40.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,10+
48,EMBUSA-1601535,MO,"('MO', 'Jackson')",Kansas City,64108,1314.7134569642105,FEMALE,43.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,1
49,EMBUSA-1602052,OK,"('OK', 'Payne')",Stillwater,74074,19171.605000000003,FEMALE,54.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$0 - $14,999 USD",7500,3
50,EMBUSA-1604054,VA,"('VA', 'Fauquier')",Manassas,20110,42240.40548411682,MALE,55.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$150,000 - $199,999 USD",175000,3
51,EMBUSA-1606422,NJ,"('NJ', 'Camden')",Sicklerville,08081,15460.105999999998,FEMALE,40.0,High School,White,"Yes, of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
52,EMBUSA-1608558,GA,"('GA', 'Cobb')",Marietta,30062,5965.975414978769,MALE,41.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,3
53,EMBUSA-1612812,OK,"('OK', 'Le Flore')",Pocola,74902,552.9111000000001,FEMALE,46.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,6
54,EMBUSA-1613585,NC,"('NC', 'Union')",Indian Trail,28079,10798.645120354611,MALE,41.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,4
55,EMBUSA-1613675,IL,"('IL', 'DuPage')",Naperville,60565,5100.467300000001,FEMALE,38.0,University/College,Mixed racial background,"Yes, of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,3
56,EMBUSA-1616092,KS,"('KS', 'Wyandotte')",Kansas City,66103,5429.748195807259,FEMALE,51.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,2
57,EMBUSA-1618250,VA,"('VA', 'Campbell')",Evington,24550,12294.59987543737,FEMALE,39.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,2
58,EMBUSA-1620526,MI,"('MI', 'Macomb')",Sterling Heights,48310,8571.891549169182,MALE,45.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,4
59,EMBUSA-1623669,VA,"('VA', 'Petersburg city')",Petersburg,23803,20592.648366133286,MALE,44.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,5
60,EMBUSA-1624111,CT,"('CT', 'Fairfield')",Fairfield,06890,20669.689880656846,MALE,64.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
61,EMBUSA-1628090,TX,"('TX', 'Harris')",League City,77573,18294.957302624112,FEMALE,37.0,High School,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,4
62,EMBUSA-1631506,MD,"('MD', ""Prince George's"")",Beltsville,20705,10483.214970294906,FEMALE,50.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
63,EMBUSA-1632980,UT,"('UT', 'Washington')",Hurricane,84737,28359.501615358884,MALE,25.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
64,EMBUSA-1635544,OK,"('OK', 'Oklahoma')",Oklahoma City,73142,15818.423560802468,MALE,53.0,Postgraduate Education,Black or African American,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,2
65,EMBUSA-1636155,MA,"('MA', 'Bristol')",Berkley,02779,3067.7107000000005,MALE,31.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
66,EMBUSA-1637731,IL,"('IL', 'Lake')",Ingleside,60041,3037.7798072961377,FEMALE,33.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,4
67,EMBUSA-1642800,CT,"('CT', 'Windham')",Windham,06266,27885.674166666668,MALE,56.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
68,EMBUSA-1647345,CT,"('CT', 'Hartford')",Bristol,06010,13561.919180299885,MALE,23.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
69,EMBUSA-1648488,TX,"('TX', 'Harris')",Houston,77095,7400.386548815566,FEMALE,36.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
70,EMBUSA-1648609,IL,"('IL', 'DuPage')",Homer Glen,60491,27866.681999999997,MALE,36.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,2
71,EMBUSA-1651154,VA,"('VA', 'Suffolk city')",Chesapeake,23320,2381.7285245901644,FEMALE,53.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,5
72,EMBUSA-1652735,FL,"('FL', 'Manatee')",Pace,32571,4614.310687358489,FEMALE,37.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,3
73,EMBUSA-1655695,OR,"('OR', 'Washington')",Hillsboro,97006,26075.93568236646,MALE,35.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
74,EMBUSA-1655973,PA,"('PA', 'Philadelphia')",Philadelphia,19140,6382.935722488038,MALE,32.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,4
75,EMBUSA-1658168,CA,"('CA', 'Alameda')",Fremont,94536,20618.144028753995,FEMALE,57.0,University/College,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,4
